X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,ShortName,Address,SchoolsType,SchoolBoards,SchoolTypes,LastEditDate,BeforeAndAfterSchoolProgram,ChildCareCentre
477261.0464,4756777,2617,93,École élémentaire catholique Frère-André - French First Language Catholic Elementary School,École élémentaire catholique Frère-André,400 Base Line Rd W,French CatholicElementary,Conseil scolaire de district des écolesCatholique,Elementary,2017/01/30 00:00:00+00,,Y
483475.2721,4763651,2618,94,École élémentaire catholique Sainte-Jeanne-d'Arc - French First Language Catholic Elementary School,École élémentaire catholique Sainte-Jeanne-d'Arc,35 Fallons Lane,French CatholicElementary,Conseil scolaire de district des écolesCatholique,Elementary,2017/01/30 00:00:00+00,,Y
483293.8296,4760528,2619,95,Acadamie de la Tamise - French First Language Public Elementary School,Acadamie de la Tamise,1260 Dundas St,French Public Elementary,Conseil scolaire Viamonde,Elementary,2017/01/30 00:00:00+00,,Y
485601.2357,4756196,2620,96,École élémentaire catholique Saint-Jean-de-Brébeuf- French First Language Catholic Elementary School,École élémentaire catholique Saint-Jean-de-Brébeuf,270 Chelton Rd,French CatholicElementary,Conseil scolaire de district des écolesCatholique,Elementary,2017/01/30 00:00:00+00,,Y
473257.9332,4758087,2621,97,École élémentaire Marie-Curie - French First Language Public Elementary School,École élémentaire Marie-Curie,40 Hunt Club Dr,French Public Elementary,Conseil scolaire Viamonde,Elementary,2017/01/30 00:00:00+00,,Y
478473.1847,4763481,2622,98,St. Kateri Catholic School,St. Kateri,220 Sunnyside Dr,Catholic Elementary,London District Catholic School Board,Elementary,2016/06/09 00:00:00+00,Y,Y
482225.9297,4761405,2623,99,Blessed Sacrament Catholic School,Blessed Sacrament,1063 Oxford St E,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
487242.945,4759865,2624,101,Holy Family Catholic School,Holy Family,329 Hudson Dr,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
481209.3784,4757098,2625,102,Holy Rosary Catholic School,Holy Rosary,268 Herkimer St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
476038.708,4754796,2626,103,St. Rose of Lima Catholic School,Jean Vanier,1019 Viscount Rd,Catholic Elementary,London District Catholic School Board,Elementary,2022/09/06 00:00:00+00,Y,Y
475471.8439,4758134,2627,104,Notre Dame Catholic School,Notre Dame,767 Valetta St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
482660.8948,4763197,2628,105,St. Anne Catholic School,St. Anne,1366 Huron St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480814.6478,4753211,2629,106,St. Anthony - French - Immersion Catholic School,St. Anthony,1380 Ernest Ave,Catholic Elementary,London District Catholic School Board,Elementary - French Immersion,2016/06/09 00:00:00+00,Y,Y
485060.4311,4758809,2630,107,St. Bernadette Catholic School,St. Bernadette,155 Tweedsmuir Ave,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
483006.9281,4754593,2631,108,St. Francis Catholic School,St. Francis,690 Osgoode Dr,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
473391.7593,4755963,2632,109,St. George Catholic School,St. George,375 Lynden Cres,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
473634.1485,4760362,2633,110,St. John Catholic - French Immersion - Catholic School,St. John,1212 Coronation Dr,Catholic Elementary,London District Catholic School Board,Elementary - French Immersion,2017/08/09 00:00:00+00,Y,Y
478036.1684,4755175,2634,111,St. Jude Catholic School,St. Jude,690 Viscount Rd,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
473844.9215,4761610,2635,112,St. Marguerite d'Youville Catholic School,St. Marguerite d'Youville,170 Hawthorne Rd,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
480786.3299,4764744,2636,113,St. Mark Catholic School,St. Mark,1440 Glenora Dr,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
479313.0135,4757495,2637,114,St. Martin Catholic School,St. Martin,140 Duchess Ave,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
481373.067,4759497,2638,115,St. Mary Choir Catholic School,St. Mary Choir,347 Lyle St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,,
480059.2453,4761303,2639,116,St. Michael Catholic School,St. Michael,926 Maitland St,Catholic Elementary,London District Catholic School Board,Elementary,2015/06/15 00:00:00+00,Y,Y
